,Open
1,2207.26001
2,2200.649902
3,2191.120117
4,2200.169922
5,2204.969971
6,2200.76001
7,2210.209961
8,2206.27002
9,2198.550049
10,2201.560059
11,2186.429932
12,2186.850098
13,2178.610107
14,2177.530029
15,2168.290039
16,2165.639893
17,2162.709961
18,2167.48999
19,2131.560059
20,2129.919922
21,2100.590088
22,2083.790039
23,2098.800049
24,2109.429932
25,2128.679932
26,2129.780029
27,2132.22998
28,2144.060059
29,2136.969971
30,2149.719971
31,2148.5
32,2139.429932
33,2142.51001
34,2140.810059
35,2138.310059
36,2132.949951
37,2139.679932
38,2130.26001
39,2137.669922
40,2161.350098
41,2160.389893
42,2164.189941
43,2158.219971
44,2155.149902
45,2163.370117
46,2164.330078
47,2156.51001
48,2168.899902
49,2161.850098
50,2146.040039
51,2158.540039
52,2173.290039
53,2170.939941
54,2144.580078
55,2145.939941
56,2143.98999
57,2146.47998
58,2125.360107
59,2127.860107
60,2150.469971
61,2120.860107
62,2169.080078
63,2182.76001
64,2185.169922
65,2181.610107
66,2177.48999
67,2171.330078
68,2173.560059
69,2179.449951
70,2170.189941
71,2175.100098
72,2173.290039
73,2185.090088
74,2187.810059
75,2181.580078
76,2184.23999
77,2181.899902
78,2177.840088
79,2186.23999
80,2186.080078
81,2183.73999
82,2177.969971
83,2182.810059
84,2182.23999
85,2183.76001
86,2168.790039
87,2163.51001
88,2156.810059
89,2169.939941
90,2173.149902
91,2168.830078
92,2166.050049
93,2169.810059
94,2168.969971
95,2173.709961
96,2166.469971
97,2172.909912
98,2166.100098
99,2163.790039
100,2162.040039
101,2165.129883
102,2157.879883
103,2153.810059
104,2139.5
105,2131.719971
106,2106.969971
107,2100.419922
108,2084.429932
109,2095.050049
110,2099.340088
111,2073.169922
112,2042.689941
113,2006.670044
114,2031.449951
115,2103.810059
116,2092.800049
117,2089.75
118,2085.189941
119,2075.580078
120,2078.199951
121,2066.360107
122,2077.600098
123,2076.649902
124,2091.75
125,2109.570068
126,2115.649902
127,2112.709961
128,2110.179932
129,2100.830078
130,2104.070068
131,2097.709961
132,2093.939941
133,2100.129883
134,2090.060059
135,2091.439941
136,2078.929932
137,2052.649902
138,2052.22998
139,2041.880005
140,2044.209961
141,2044.380005
142,2065.040039
143,2046.530029
144,2062.5
145,2067.169922
146,2083.290039
147,2062.629883
148,2057.550049
149,2047.77002
150,2052.949951
151,2060.300049
152,2077.179932
153,2067.169922
154,2071.820068
155,2090.929932
156,2092.330078
157,2089.840088
158,2089.370117
159,2091.48999
160,2102.090088
161,2101.52002
162,2096.050049
163,2078.830078
164,2083.100098
165,2082.889893
166,2065.919922
167,2043.719971
168,2050.22998
169,2045.540039
170,2063.01001
171,2045.560059
172,2062.5
173,2073.189941
174,2056.620117
175,2063.77002
176,2058.27002
177,2035.75
178,2037.890015
179,2032.47998
180,2048.550049
181,2048.639893
182,2047.880005
183,2041.160034
184,2026.900024
185,2014.23999
186,2015.27002
187,2019.27002
188,1994.709961
189,1990.969971
190,1981.439941
191,1996.880005
192,1996.109985
193,1994.01001
194,1985.599976
195,1976.599976
196,1937.089966
197,1947.130005
198,1954.949951
199,1931.869995
200,1917.560059
201,1942.380005
202,1924.439941
203,1916.73999
204,1927.569946
205,1898.800049
206,1871.439941
207,1833.400024
208,1847
209,1857.099976
210,1848.459961
211,1873.25
212,1913.069946
213,1911.670044
214,1907.069946
215,1935.26001
216,1936.939941
217,1894
218,1885.219971
219,1902.52002
220,1878.790039
221,1906.280029
222,1877.400024
223,1861.459961
224,1876.180054
225,1888.660034
226,1916.680054
227,1891.680054
228,1940.339966
229,1927.829956
230,1926.119995
231,1945.969971
232,1985.319946
233,2011.709961
234,2013.780029
235,2038.199951
236,2060.590088
237,2077.340088
238,2060.540039
239,2057.77002
240,2063.52002
241,2042.199951
242,2023.150024
243,2010.27002
244,2040.810059
245,2073.76001
246,2046.5
247,2025.550049
248,2013.369995
249,2047.27002
250,2047.930054
251,2061.169922
252,2073.389893
253,2090.419922
254,2051.23999
255,2080.709961
256,2101.709961
257,2082.929932
258,2090.949951
259,2088.820068
260,2089.300049
261,2084.419922
262,2089.409912
263,2082.820068
264,2083.699951
265,2051.98999
266,2053.669922
267,2022.079956
268,2044.640015
269,2072.290039
270,2083.409912
271,2077.189941
272,2096.560059
273,2098.600098
274,2101.679932
275,2110.600098
276,2102.629883
277,2080.76001
278,2090
279,2088.350098
280,2066.47998
281,2068.75
282,2075.080078
283,2058.189941
284,2021.880005
285,2033.469971
286,2033.130005
287,2031.72998
288,2024.369995
289,1996.469971
290,2003.660034
291,2015
292,2015.650024
293,2013.72998
294,1994.01001
295,1982.339966
296,1986.630005
297,1954.329956
298,1921.77002
299,1919.650024
300,1887.140015
301,1881.900024
302,1929.180054
303,1935.930054
304,1934.810059
305,1943.23999
306,1961.390015
307,1960.839966
308,1989.660034
309,1995.329956
310,1978.02002
311,1955.099976
312,1963.060059
313,1951.449951
314,1941.589966
315,1971.449951
316,1927.300049
317,1947.76001
318,1950.790039
319,1916.52002
320,1970.089966
321,1986.72998
322,1986.060059
323,1942.77002
324,1872.75
325,1898.079956
326,1965.150024
327,2034.079956
328,2076.610107
329,2095.689941
330,2101.98999
331,2089.699951
332,2083.149902
333,2086.189941
334,2081.100098
335,2102.659912
336,2080.97998
337,2082.610107
338,2100.75
339,2095.27002
340,2097.679932
341,2104.48999
342,2111.600098
343,2106.780029
344,2094.699951
345,2070.75
346,2078.189941
347,2102.23999
348,2114.159912
349,2118.209961
350,2127.550049
351,2126.850098
352,2126.800049
353,2110.550049
354,2109.01001
355,2099.719971
356,2080.030029
357,2052.73999
358,2049.72998
359,2077.659912
360,2069.52002
361,2073.949951
362,2078.030029
363,2067
364,2061.189941
365,2098.629883
366,2102.620117
367,2109.959961
368,2123.649902
369,2123.159912
370,2112.5
371,2121.060059
372,2101.580078
373,2097.399902
374,2084.26001
375,2091.340088
376,2107.429932
377,2106.23999
378,2081.120117
379,2079.070068
380,2092.340088
381,2095.090088
382,2112.350098
383,2110.639893
384,2110.409912
385,2108.639893
386,2120.659912
387,2122.27002
388,2105.129883
389,2125.340088
390,2130.360107
391,2125.550049
392,2127.790039
393,2129.449951
394,2121.300049
395,2122.070068
396,2100.429932
397,2099.620117
398,2102.870117
399,2115.560059
400,2092.129883
401,2079.959961
402,2091.26001
403,2112.629883
404,2110.22998
405,2087.379883
406,2105.52002
407,2112.48999
408,2108.350098
409,2119.290039
410,2112.800049
411,2107.209961
412,2098.27002
413,2102.820068
414,2084.110107
415,2102.580078
416,2105.959961
417,2097.820068
418,2092.280029
419,2102.030029
420,2091.51001
421,2081.290039
422,2076.939941
423,2080.790039
424,2064.870117
425,2060.030029
426,2067.629883
427,2084.050049
428,2064.110107
429,2055.780029
430,2059.939941
431,2093.100098
432,2103.939941
433,2107.98999
434,2090.320068
435,2098.689941
436,2072.840088
437,2080.590088
438,2055.350098
439,2064.560059
440,2041.099976
441,2044.689941
442,2076.139893
443,2072.25
444,2100.909912
445,2098.540039
446,2107.719971
447,2115.76001
448,2105.22998
449,2110.879883
450,2113.909912
451,2115.300049
452,2109.100098
453,2109.830078
454,2097.649902
455,2099.25
456,2099.159912
457,2096.469971
458,2088.780029
459,2069.97998
460,2068.550049
461,2049.379883
462,2053.469971
463,2062.280029
464,2043.449951
465,2048.860107
466,2022.709961
467,1996.670044
468,2019.349976
469,2002.449951
470,2032.339966
471,2047.859985
472,2050.419922
473,2062.97998
474,2034.300049
475,2020.189941
476,2020.76001
477,1992.25
478,2013.75
479,2018.400024
480,2031.579956
481,2046.130005
482,2063.449951
483,2030.609985
484,2005.550049
485,2022.150024
486,2054.439941
487,2058.899902
488,2082.110107
489,2088.48999
490,2087.629883
491,2084.300049
492,2083.25
493,2081.47998
494,2069.280029
495,2061.040039
496,2018.97998
497,1973.77002
498,1986.709961
499,2005.030029
500,2030.359985
501,2027.920044
502,2058.860107
503,2056.550049
504,2074.840088
505,2072.780029
506,2073.639893
507,2067.449951
508,2053.77002
509,2065.780029
510,2074.780029
511,2067.360107
512,2070.149902
513,2065.070068
514,2057.459961
515,2045.869995
516,2051.159912
517,2041.47998
518,2038.290039
519,2039.73999
520,2039.209961
521,2037.75
522,2038.199951
523,2032.01001
524,2032.359985
525,2023.329956
526,2015.290039
527,2015.810059
528,2018.209961
529,2001.199951
530,1979.48999
531,1983.290039
532,1964.140015
533,1962.969971
534,1951.589966
535,1931.02002
536,1941.290039
537,1909.380005
538,1885.619995
539,1864.910034
540,1855.949951
541,1874.180054
542,1877.109985
543,1905.650024
544,1925.630005
545,1967.680054
546,1935.550049
547,1962.359985
548,1970.01001
549,1948.119995
550,1945.829956
551,1971.439941
552,1978.209961
553,1978.959961
554,1966.219971
555,1997.319946
556,1983.339966
557,1992.780029
558,2009.079956
559,2012.73999
560,2003.069946
561,1999.300049
562,1981.930054
563,1986.040039
564,1996.73999
565,1992.849976
566,1988.410034
567,2000.72998
568,2007.170044
569,1998
570,2001.670044
571,2003.569946
572,2004.069946
573,1998.449951
574,1997.420044
575,2000.540039
576,1998.589966
577,1991.73999
578,1992.599976
579,1986.819946
580,1980.459961
581,1972.72998
582,1958.359985
583,1958.869995
584,1947.410034
585,1935.599976
586,1935.72998
587,1933.430054
588,1910.349976
589,1923.030029
590,1917.290039
591,1936.339966
592,1926.619995
593,1929.800049
594,1965.140015
595,1973.209961
596,1980.030029
597,1978.25
598,1984.599976
599,1988.069946
600,1985.319946
601,1975.650024
602,1976.930054
603,1961.540039
604,1979.75
605,1976.349976
606,1977.359985
607,1969.859985
608,1965.76001
609,1966.670044
610,1965.099976
611,1976.390015
612,1984.219971
613,1975.880005
614,1973.060059
615,1962.290039
616,1960.790039
617,1956.560059
618,1959.890015
619,1949.27002
620,1961.969971
621,1962.920044
622,1960.449951
623,1957.5
624,1942.72998
625,1937.150024
626,1934.839966
627,1930.800049
628,1943.349976
629,1949.369995
630,1950.339966
631,1948.969971
632,1942.410034
633,1928.52002
634,1923.060059
635,1923.069946
636,1923.869995
637,1920.329956
638,1910.599976
639,1911.77002
640,1902.01001
641,1893.319946
642,1888.189941
643,1873.339966
644,1884.880005
645,1876.660034
646,1871.189941
647,1888.160034
648,1897.130005
649,1896.75
650,1880.030029
651,1875.27002
652,1877.390015
653,1868.530029
654,1883.689941
655,1879.449951
656,1885.300049
657,1884.390015
658,1877.099976
659,1870.780029
660,1865
661,1877.719971
662,1881.969971
663,1879.319946
664,1872.569946
665,1865.790039
666,1861.72998
667,1846.01001
668,1831.449951
669,1818.180054
670,1830.650024
671,1872.280029
672,1852.640015
673,1845.47998
674,1863.920044
675,1890.25
676,1891.430054
677,1886.609985
678,1873.959961
679,1859.160034
680,1850.069946
681,1852.109985
682,1867.089966
683,1859.47998
684,1867.670044
685,1874.530029
686,1860.089966
687,1872.25
688,1858.920044
689,1842.810059
690,1845.069946
691,1869.060059
692,1866.150024
693,1878.26001
694,1877.859985
695,1878.52002
696,1874.180054
697,1874.050049
698,1849.22998
699,1857.680054
700,1855.119995
701,1844.900024
702,1845.790039
703,1847.660034
704,1836.780029
705,1841.069946
706,1829.23999
707,1838.900024
708,1839.030029
709,1828.459961
710,1814.819946
711,1820.119995
712,1800.449951
713,1796.199951
714,1776.01001
715,1752.98999
716,1753.380005
717,1743.819946
718,1782.680054
719,1790.880005
720,1777.170044
721,1790.150024
722,1783
723,1791.030029
724,1826.959961
725,1842.290039
726,1844.709961
727,1841.050049
728,1844.22998
729,1847.98999
730,1840.52002
731,1821.359985
732,1841.26001
733,1840.060059
734,1839
735,1837.900024
736,1828.709961
737,1832.310059
738,1833.209961
739,1845.859985
740,1842.609985
741,1841.469971
742,1842.969971
743,1834.959961
744,1828.02002
745,1822.920044
746,1810.390015
747,1809
748,1781.459961
749,1786.469971
750,1777.47998
751,1777.97998
752,1781.709961
753,1802.76001
754,1807.599976
755,1806.209961
756,1788.359985
757,1792.819946
758,1793.150024
759,1800.099976
760,1806.550049
761,1808.689941
762,1803.47998
763,1802.869995
764,1806.329956
765,1797.209961
766,1783.52002
767,1789.589966
768,1790.790039
769,1798.819946
770,1790.660034
771,1782.75
772,1764.369995
773,1769.51001
774,1769.959961
775,1748.369995
776,1770.73999
777,1765
778,1765.670044
779,1763.400024
780,1758.699951
781,1763.23999
782,1772.27002
783,1762.930054
784,1759.420044
785,1756.01001
786,1747.47998
787,1752.27002
788,1746.47998
789,1745.199951
790,1736.719971
791,1720.170044
792,1700.48999
793,1709.170044
794,1699.859985
795,1691.089966
796,1660.880005
797,1656.98999
798,1676.219971
799,1687.150024
800,1678.790039
801,1692.349976
802,1691.900024
803,1682.410034
804,1687.26001
805,1695.52002
806,1694.050049
807,1698.02002
808,1702.599976
809,1711.439941
810,1722.439941
811,1727.339966
812,1705.73999
813,1697.72998
814,1691.699951
815,1685.040039
816,1689.209961
817,1681.040039
818,1675.109985
819,1656.849976
820,1657.439941
821,1653.280029
822,1640.719971
823,1635.949951
824,1638.890015
825,1633.5
826,1630.25
827,1652.540039
828,1664.290039
829,1659.920044
830,1645.030029
831,1650.660034
832,1646.810059
833,1655.25
834,1661.219971
835,1679.609985
836,1693.880005
837,1690.650024
838,1688.369995
839,1696.099976
840,1693.349976
841,1695.300049
842,1705.790039
843,1708.01001
844,1706.099976
845,1689.420044
846,1687.76001
847,1687.920044
848,1690.319946
849,1687.310059
850,1685.209961
851,1696.060059
852,1696.630005
853,1694.410034
854,1686.150024
855,1681.050049
856,1677.910034
857,1682.699951
858,1679.589966
859,1675.26001
860,1657.410034
861,1651.560059
862,1642.890015
863,1634.199951
864,1618.650024
865,1611.47998
866,1614.290039
867,1609.780029
868,1611.119995
869,1606.439941
870,1592.27002
871,1577.52002
872,1588.77002
873,1588.619995
874,1624.619995
875,1651.829956
876,1639.77002
877,1630.640015
878,1635.52002
879,1612.150024
880,1629.939941
881,1638.640015
882,1644.670044
883,1625.27002
884,1609.290039
885,1629.050049
886,1640.72998
887,1631.709961
888,1652.130005
889,1649.140015
890,1656.569946
891,1652.630005
892,1646.670044
893,1651.619995
894,1669.390015
895,1666.199951
896,1665.709961
897,1652.449951
898,1658.069946
899,1649.130005
900,1633.75
901,1632.099976
902,1626.689941
903,1632.689941
904,1625.949951
905,1617.550049
906,1614.400024
907,1597.599976
908,1582.77002
909,1597.550049
910,1593.579956
911,1582.339966
912,1585.160034
913,1578.930054
914,1578.780029
915,1562.5
916,1555.25
917,1541.609985
918,1552.030029
919,1574.569946
920,1552.359985
921,1588.839966
922,1593.300049
923,1587.72998
924,1568.609985
925,1563.109985
926,1553.26001
927,1559.97998
928,1553.689941
929,1570.25
930,1562.170044
931,1569.180054
932,1562.859985
933,1563.75
934,1551.689941
935,1556.890015
936,1545.900024
937,1558.709961
938,1548.339966
939,1552.099976
940,1560.699951
941,1563.209961
942,1554.52002
943,1552.47998
944,1556.219971
945,1551.150024
946,1544.26001
947,1541.459961
948,1539.790039
949,1525.199951
950,1518.199951
951,1514.680054
952,1515.98999
953,1496.939941
954,1487.849976
955,1515.599976
956,1502.420044
957,1511.949951
958,1530.939941
959,1519.790039
960,1521.380005
961,1520.329956
962,1519.430054
963,1517.01001
964,1517.930054
965,1509.390015
966,1512.119995
967,1511.290039
968,1495.709961
969,1513.170044
970,1498.109985
971,1501.959961
972,1507.839966
973,1500.180054
974,1502.959961
975,1494.819946
976,1494.810059
977,1492.560059
978,1485.97998
979,1480.949951
980,1472.630005
981,1472.329956
982,1470.670044
983,1472.050049
984,1472.119995
985,1461.02002
986,1457.150024
987,1461.890015
988,1466.469971
989,1459.369995
990,1462.420044
991,1426.189941
992,1402.430054
993,1418.099976
994,1419.829956
995,1426.660034
996,1430.150024
997,1443.670044
998,1435.810059
999,1446.790039
1000,1430.469971
1001,1413.540039
1002,1419.449951
1003,1428.47998
1004,1427.839966
1005,1418.550049
1006,1418.069946
1007,1413.949951
